observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/BHS,2021,337300000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BHS,2021,0.0016,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BHS,2021,-92.18,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BHR,2020,39696200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BHR,2020,0.1788,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BHR,2021,39036300000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BHR,2021,0.1808,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BHR,2021,-1.66,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BGD,2020,581766100000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BGD,2020,2.6207,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BGD,2021,715092900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BGD,2021,3.3121,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BGD,2021,22.92,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BRB,2020,904300000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BRB,2020,0.0041,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BRB,2021,820000000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BRB,2021,0.0038,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BRB,2021,-9.32,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BLR,2020,3950200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BLR,2020,0.0178,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BLR,2021,4613700000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BLR,2021,0.0214,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BLR,2021,16.8,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BEL,2020,411642000000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BEL,2020,1.8544,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BEL,2021,386827800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BEL,2021,1.7917,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BEL,2021,-6.03,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BLZ,2020,1010600000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
