observationAbout,observationDate,value,variableMeasured,unit,measurementMethod,#input
country/IND,2012,217554,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:32:2
country/IND,2013,85194869,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:33:1
country/IND,2013,222120,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:33:2
country/IND,2014,89534187,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:34:1
country/IND,2014,224576,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:34:2
country/IND,2015,97516172,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:35:1
country/IND,2015,230435,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:35:2
country/IND,2016,107248509,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:36:1
country/IND,2016,233116,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:36:2
country/IND,2017,114591911,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:37:1
country/IND,2017,234865,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:37:2
country/IND,2018,122967418,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:38:1
country/IND,2018,237684,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:38:2
country/IND,2019,127646637,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:39:1
country/IND,2019,242395,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:39:2
country/IND,2020,121264771,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:40:1
country/IND,2020,246504,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:40:2
country/IND,2021,133578860,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:41:1
country/IND,2021,250454,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:41:2
country/IND,2022,174832466,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:42:1
country/IND,2022,249987,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:42:2
country/IND,2023,188041113,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:43:1
country/IND,2023,253334,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:43:2
country/IND,2024,210314335,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:44:1
country/IND,2024,260061,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:44:2
