observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,-2.7,dcid:GrowthRate_Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,Percent,ExportsInUSD
country/IND,2020,82506800000,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,INR,ExportsInUSD
country/IND,2020,0.3717,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,120831100000,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,INR,ExportsInUSD
country/IND,2021,0.5597,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,46.45,dcid:GrowthRate_Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,Percent,ExportsInUSD
country/IND,2020,34085900000,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,INR,ExportsInUSD
country/IND,2020,0.1536,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,47236300000,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,INR,ExportsInUSD
country/IND,2021,0.2188,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,38.58,dcid:GrowthRate_Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,Percent,ExportsInUSD
country/IND,2020,155824700000,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery,INR,ExportsInUSD
country/IND,2020,0.702,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,233208900000,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery,INR,ExportsInUSD
country/IND,2021,1.0801,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,49.66,dcid:GrowthRate_Exports_EconomicActivity_SugarsAndSugarConfectionery,Percent,ExportsInUSD
country/IND,2020,12746900000,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations,INR,ExportsInUSD
country/IND,2020,0.0574,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,11083800000,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations,INR,ExportsInUSD
country/IND,2021,0.0513,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-13.05,dcid:GrowthRate_Exports_EconomicActivity_CocoaAndCocoaPreparations,Percent,ExportsInUSD
country/IND,2020,37641400000,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,INR,ExportsInUSD
country/IND,2020,0.1696,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,45674300000,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,INR,ExportsInUSD
country/IND,2021,0.2115,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,21.34,dcid:GrowthRate_Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,Percent,ExportsInUSD
country/IND,2020,44274800000,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,INR,ExportsInUSD
country/IND,2020,0.1994,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,52030500000,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,INR,ExportsInUSD
country/IND,2021,0.241,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17.52,dcid:GrowthRate_Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,Percent,ExportsInUSD
country/IND,2020,59150200000,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations,INR,ExportsInUSD
country/IND,2020,0.2665,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,69055900000,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations,INR,ExportsInUSD
country/IND,2021,0.3198,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,16.75,dcid:GrowthRate_Exports_EconomicActivity_MiscellaneousEdiblePreparations,Percent,ExportsInUSD
country/IND,2020,18055100000,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar,INR,ExportsInUSD
country/IND,2020,0.0813,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,26279600000,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar,INR,ExportsInUSD
country/IND,2021,0.1217,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,45.55,dcid:GrowthRate_Exports_EconomicActivity_BeveragesSpiritsAndVinegar,Percent,ExportsInUSD
country/IND,2020,82630400000,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,INR,ExportsInUSD
country/IND,2020,0.3722,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,149105400000,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,INR,ExportsInUSD
country/IND,2021,0.6906,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,80.45,dcid:GrowthRate_Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,Percent,ExportsInUSD
country/IND,2020,64093900000,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,INR,ExportsInUSD
country/IND,2020,0.2887,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,64969900000,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,INR,ExportsInUSD
country/IND,2021,0.3009,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1.37,dcid:GrowthRate_Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,Percent,ExportsInUSD
country/IND,2020,141601100000,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,INR,ExportsInUSD
country/IND,2020,0.6379,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,176144000000,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,INR,ExportsInUSD
country/IND,2021,0.8158,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,24.39,dcid:GrowthRate_Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,Percent,ExportsInUSD
country/IND,2020,224005100000,dcid:Exports_EconomicActivity_OresSlagAndAsh,INR,ExportsInUSD
country/IND,2020,1.0091,dcid:Exports_EconomicActivity_OresSlagAndAsh_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,388229600000,dcid:Exports_EconomicActivity_OresSlagAndAsh,INR,ExportsInUSD
country/IND,2021,1.7982,dcid:Exports_EconomicActivity_OresSlagAndAsh_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,73.31,dcid:GrowthRate_Exports_EconomicActivity_OresSlagAndAsh,Percent,ExportsInUSD
country/IND,2020,3023671700000,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,INR,ExportsInUSD
country/IND,2020,13.621,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1990731600000,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,INR,ExportsInUSD
country/IND,2021,9.2204,dcid:Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-34.16,dcid:GrowthRate_Exports_EconomicActivity_MineralFuelsMineralOilsAndProductsOfTheir,Percent,ExportsInUSD
country/IND,2020,125121900000,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,INR,ExportsInUSD
country/IND,2020,0.5636,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,123010700000,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,INR,ExportsInUSD
country/IND,2021,0.5697,dcid:Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-1.69,dcid:GrowthRate_Exports_EconomicActivity_InorganicChemicalsOrganicAndInorganicCompoundsOf,Percent,ExportsInUSD
country/IND,2020,1238667100000,dcid:Exports_EconomicActivity_OrganicChemicals,INR,ExportsInUSD
