observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2005,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,747000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,750000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,752000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,753000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,756000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,790000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,796000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,800000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,815000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,829000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,843000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,861000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,872000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,882000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,920000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,954000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,982000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
