observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,44150000,dcid:Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,USDollar,ExportsInUSD
country/IND,2021,0.0151,dcid:Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-6.84,dcid:GrowthRate_Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,Percent,ExportsInUSD
country/IND,2020,1165690000,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,USDollar,ExportsInUSD
country/IND,2020,0.372,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1633170000,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,USDollar,ExportsInUSD
country/IND,2021,0.5597,dcid:Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,40.1,dcid:GrowthRate_Exports_EconomicActivity_AnimalVegetableOrMicrobialFatsAndOilsAndTheir15,Percent,ExportsInUSD
country/IND,2020,480110000,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,USDollar,ExportsInUSD
country/IND,2020,0.1532,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,637940000,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,USDollar,ExportsInUSD
country/IND,2021,0.2186,dcid:Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,32.87,dcid:GrowthRate_Exports_EconomicActivity_MeatFishCrustaceansMolluscsOrOtherAquatic,Percent,ExportsInUSD
country/IND,2020,2192150000,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery,USDollar,ExportsInUSD
country/IND,2020,0.6996,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,3149660000,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery,USDollar,ExportsInUSD
country/IND,2021,1.0794,dcid:Exports_EconomicActivity_SugarsAndSugarConfectionery_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,43.68,dcid:GrowthRate_Exports_EconomicActivity_SugarsAndSugarConfectionery,Percent,ExportsInUSD
country/IND,2020,180100000,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations,USDollar,ExportsInUSD
country/IND,2020,0.0575,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,149780000,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations,USDollar,ExportsInUSD
country/IND,2021,0.0513,dcid:Exports_EconomicActivity_CocoaAndCocoaPreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-16.84,dcid:GrowthRate_Exports_EconomicActivity_CocoaAndCocoaPreparations,Percent,ExportsInUSD
country/IND,2020,531210000,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,USDollar,ExportsInUSD
country/IND,2020,0.1695,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
